"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
95,"ARCHFIEND ","star","3,173h Playtime ","5,668 Matches ","800","851","2675","139.5","22.8%","51.8%","2,937","86,754","83,003","40,032","{1.53}","{0.7}","{""1,539""}","{Sova}","{""1,634 hours""}","{""2,930""}","54.7%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
96,"NAVI Shao ","GOD","712h Playtime ","1,244 Matches ","800","207","417","159.8","30.8%","65.8%","819","22,734","16,072","8,646","{1.95}","{0.9}","{510}","{Sova}","{""230 hours""}","{410}","65.6%","{1.44}","Vandal","43%","Ghost","45%","Sunset","79.2%"
97,"ESC krm ","000","3,933h Playtime ","7,029 Matches ","800","781","3400","145.6","30.1%","50.0%","3,518","116,852","108,708","33,771","{1.39}","{0.8}","{""1,542""}","{Jett}","{""699 hours""}","{""1,248""}","50.8%","{1.09}","Vandal","45%","Phantom","36%","Icebox","52.9%"
98,"Clewy ","333","1,532h Playtime ","2,742 Matches ","774","430","1220","152.1","25.9%","54.5%","1,495","47,118","39,343","15,175","{1.58}","{0.8}","{891}","{Chamber}","{""206 hours""}","{374}","54.5%","{1.29}",NULL,NULL,NULL,NULL,NULL,NULL
99,"endoistzin ","demon","2,127h Playtime ","3,894 Matches ","799","443","1709","161.8","24.5%","55.4%","2,159","73,406","62,728","16,793","{1.44}","{0.9}","{692}","{Jett}","{""965 hours""}","{""1,784""}","56.3%","{1.19}",NULL,NULL,NULL,NULL,NULL,NULL
100,"Shmiro ","TTV","3,462h Playtime ","5,982 Matches ","797","609","2949","131.0","23.4%","49.5%","2,964","88,620","86,757","41,988","{1.51}","{0.7}","{""1,988""}","{Omen}","{""1,120 hours""}","{""1,964""}","51.1%","{1.02}","Vandal","34%","Phantom","29%","Sunset","53.7%"
101,"BC Ooriime ","bruz","2,097h Playtime ","3,761 Matches ","796","446","1672","134.0","33.5%","54.5%","2,048","58,764","56,637","19,622","{1.38}","{0.7}","{982}","{Killjoy}","{""263 hours""}","{461}","57.0%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
102,"ZOL PatMen ","jprm","1,269h Playtime ","2,292 Matches ","795","412","1033","155.2","25.7%","53.6%","1,229","40,839","34,946","11,627","{1.50}","{0.8}","{571}","{Reyna}","{""151 hours""}","{272}","52.9%","{1.27}","Vandal","37%","Phantom","30%","Pearl","59.3%"
103,"Beyter ","SW43","1,834h Playtime ","3,321 Matches ","795","411","1599","149.3","30.7%","50.9%","1,691","56,196","51,238","16,238","{1.41}","{0.8}","{706}","{Reyna}","{""308 hours""}","{566}","54.2%","{1.21}","Vandal","44%","Phantom","38%","Pearl","54.6%"
104,"ExqsvE ","SIDDK","688h Playtime ","1,251 Matches ","794","141","544","162.5","35.1%","54.9%","687","23,510","19,465","4,170","{1.42}","{0.9}","{250}","{Reyna}","{""167 hours""}","{304}","54.9%","{1.26}",NULL,NULL,NULL,NULL,NULL,NULL
105,"OLIMPO blowz ","BONK","3,769h Playtime ","6,734 Matches ","793","792","3139","143.2","26.9%","52.1%","3,510","110,832","107,079","33,367","{1.35}","{0.8}","{""1,409""}","{Jett}","{""622 hours""}","{""1,109""}","49.2%","{1.04}","Vandal","42%","Phantom","37%","Lotus","58.5%"
106,"champzera ","hanna","1,460h Playtime ","2,540 Matches ","793","731","1169","149.6","28.2%","52.7%","1,339","44,210","37,191","16,428","{1.63}","{0.8}","{673}","{Omen}","{""484 hours""}","{852}","55.2%","{1.19}","Vandal","38%","Ghost","44%","Fracture","55.7%"
107,"DA Doma ","sumn","1,895h Playtime ","3,426 Matches ","792","570","1579","155.7","33.1%","53.3%","1,825","62,836","51,997","14,115","{1.48}","{0.9}","{887}","{Jett}","{""268 hours""}","{492}","56.5%","{1.23}","Vandal","46%","Phantom","39%","Sunset","59.3%"
108,"NAVI SUYGETSU ","molly","2,064h Playtime ","3,609 Matches ","789","558","1515","156.7","33.4%","56.4%","2,037","66,226","50,022","14,290","{1.61}","{0.9}","{""1,254""}","{Cypher}","{""522 hours""}","{913}","58.8%","{1.30}",NULL,NULL,NULL,NULL,NULL,NULL
109,"M8 TakaS ","swag","1,103h Playtime ","1,994 Matches ","788","345","716","171.5","26.2%","63.0%","1,257","40,090","31,319","8,564","{1.55}","{0.9}","{378}","{Jett}","{""491 hours""}","{890}","63.6%","{1.33}",NULL,NULL,NULL,NULL,NULL,NULL
110,"FURIA mwzera ","2001","1,487h Playtime ","2,656 Matches ","788","559","947","177.8","21.9%","63.7%","1,692","55,281","38,788","14,120","{1.79}","{1.0}","{654}","{Raze}","{""343 hours""}","{621}","69.4%","{1.43}","Vandal","31%","Phantom","27%","Sunset","76.0%"
111,"Bachira Meguru ","batuj","416h Playtime ","760 Matches ","785","102","305","166.3","25.7%","59.2%","450","14,523","12,143","3,900","{1.52}","{0.9}","{184}","{Jett}","{""101 hours""}","{184}","63.6%","{1.22}","Vandal","41%","Sheriff","50%","Sunset","64.9%"
112,"DFM Meiy ","LAU9H","2,612h Playtime ","4,584 Matches ","785","620","2169","162.2","25.3%","52.1%","2,387","88,237","74,589","17,780","{1.42}","{0.9}","{836}","{Jett}","{""1,225 hours""}","{""2,146""}","51.9%","{1.22}","Vandal","42%","Phantom","35%","Sunset","59.0%"
113,"cactus ","3266","3,579h Playtime ","6,449 Matches ","763","700","3135","134.3","24.7%","49.9%","3,221","97,747","100,166","33,908","{1.31}","{0.7}","{""1,383""}","{Jett}","{""661 hours""}","{""1,184""}","49.6%","{1.02}",NULL,NULL,NULL,NULL,NULL,NULL
114,"markL ","LFT","2,336h Playtime ","4,213 Matches ","783","530","2037","142.2","21.3%","50.8%","2,141","69,230","63,961","18,502","{1.37}","{0.8}","{""1,214""}","{Jett}","{""641 hours""}","{""1,154""}","49.6%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
115,"APEKS MOLSI ","187","1,398h Playtime ","2,493 Matches ","782","354","1032","152.0","29.5%","57.6%","1,435","42,992","37,214","14,371","{1.54}","{0.8}","{713}","{Sova}","{""247 hours""}","{442}","58.6%","{1.20}","Vandal","42%","Phantom","38%","Lotus","69.4%"
116,"SerialKiller ","yuki","1,910h Playtime ","3,403 Matches ","782","395","1613","162.9","34.5%","51.4%","1,749","64,069","54,075","15,783","{1.48}","{0.9}","{734}","{Reyna}","{""873 hours""}","{""1,545""}","50.0%","{1.19}","Vandal","45%","Sheriff","59%","Sunset","60.0%"
117,"lucas ","fonem","3,247h Playtime ","5,805 Matches ","781","613","2798","141.8","23.2%","50.3%","2,919","96,608","95,076","28,857","{1.32}","{0.8}","{""1,120""}","{Jett}","{""660 hours""}","{""1,185""}","50.1%","{1.06}","Vandal","43%","Phantom","34%","Breeze","55.1%"
118,"req ","oppaí","1,073h Playtime ","1,956 Matches ","780","360","795","169.9","35.8%","58.6%","1,146","39,226","29,751","7,030","{1.55}","{0.9}","{381}","{Jett}","{""285 hours""}","{524}","57.3%","{1.30}",NULL,NULL,NULL,NULL,NULL,NULL
119,"DSYRE Filu ","KING","2,870h Playtime ","5,180 Matches ","797","677","2304","150.9","31.6%","54.5%","2,825","90,273","82,516","27,013","{1.42}","{0.8}","{""1,054""}","{Jett}","{""535 hours""}","{969}","56.4%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
120,"KRÜ Shyy ","dryad","1,629h Playtime ","2,904 Matches ","778","493","1233","156.6","24.7%","56.4%","1,639","52,793","41,933","14,496","{1.60}","{0.9}","{864}","{Killjoy}","{""377 hours""}","{669}","60.1%","{1.34}","Vandal","38%","Phantom","33%","Lotus","65.8%"
121,"FOCUS Myth ","Matt","2,180h Playtime ","3,890 Matches ","777","480","1827","146.2","26.0%","51.8%","2,014","65,577","58,499","23,673","{1.53}","{0.8}","{""1,138""}","{Sova}","{""305 hours""}","{539}","52.7%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
122,"BLG Knight ","1014","1,861h Playtime ","3,310 Matches ","777","530","1517","155.9","29.5%","53.3%","1,763","59,197","51,189","15,495","{1.46}","{0.8}","{833}","{Jett}","{""453 hours""}","{799}","53.1%","{1.17}","Vandal","41%","Phantom","35%","Sunset","57.4%"
123,"DVM JUSEU1 ","BONK","1,845h Playtime ","3,270 Matches ","777","596","1379","148.4","29.5%","56.9%","1,859","57,320","49,279","14,375","{1.45}","{0.8}","{838}","{Jett}","{""403 hours""}","{724}","56.6%","{1.20}","Vandal","43%","Phantom","36%","Fracture","65.1%"
124,"nyczu ","00000","2,576h Playtime ","4,527 Matches ","775","532","2112","133.2","22.5%","52.1%","2,358","68,250","65,066","25,208","{1.44}","{0.7}","{""1,455""}","{Cypher}","{""796 hours""}","{""1,386""}","51.3%","{1.03}",NULL,NULL,NULL,NULL,NULL,NULL
125,"Clewy ","333","1,532h Playtime ","2,742 Matches ","774","430","1220","152.1","25.9%","54.5%","1,495","47,118","39,343","15,175","{1.58}","{0.8}","{891}","{Chamber}","{""206 hours""}","{374}","54.5%","{1.29}",NULL,NULL,NULL,NULL,NULL,NULL
126,"jahex ","zZzZz","2,544h Playtime ","4,576 Matches ","774","563","2168","143.3","33.5%","51.2%","2,345","76,533","70,470","22,334","{1.40}","{0.8}","{""1,105""}","{Sage}","{""445 hours""}","{792}","52.7%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
127,"ESC Chadi ","1337","2,208h Playtime ","3,893 Matches ","774","476","1735","146.6","28.2%","54.3%","2,113","66,974","58,387","15,364","{1.41}","{0.8}","{""1,036""}","{Jett}","{""820 hours""}","{""1,454""}","55.5%","{1.24}","Vandal","43%","Operator","9%","Fracture","60.4%"
128,"night by night ","00000","297h Playtime ","544 Matches ","773","76","218","156.9","25.3%","58.6%","319","9,494","7,938","2,439","{1.50}","{0.8}","{146}","{Jett}","{""84 hours""}","{156}","57.7%","{1.19}","Vandal","37%","Phantom","29%","Lotus","73.3%"
129,"Ichisolo ","lexa","1,751h Playtime ","3,148 Matches ","773","406","1500","148.9","27.9%","51.4%","1,618","53,103","47,522","14,288","{1.42}","{0.8}","{955}","{Jett}","{""342 hours""}","{606}","49.7%","{1.12}","Vandal","40%","Phantom","32%","Haven","55.3%"
130,"YARI d3mur ","ari","3,819h Playtime ","6,881 Matches ","772","815","3252","153.2","22.9%","51.2%","3,524","119,761","113,152","31,646","{1.34}","{0.8}","{""1,196""}","{Jett}","{""1,238 hours""}","{""2,227""}","51.0%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
131,"BC Mercure ","LP1","3,217h Playtime ","5,821 Matches ","772","656","2616","152.1","32.6%","54.0%","3,144","101,894","91,749","29,751","{1.43}","{0.8}","{""1,178""}","{Sage}","{""505 hours""}","{902}","55.1%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
132,"pudj ","1010","1,311h Playtime ","2,338 Matches ","771","336","1080","147.7","24.2%","53.0%","1,239","39,970","34,851","13,087","{1.52}","{0.8}","{759}","{Jett}","{""523 hours""}","{939}","53.9%","{1.21}","Vandal","35%","Phantom","30%","Bind","58.8%"
133,"虎牙 cxy0714 ","0714","3,038h Playtime ","5,426 Matches ","771","604","2414","154.2","27.3%","54.4%","2,954","93,564","84,758","28,112","{1.44}","{0.8}","{""1,261""}","{Jett}","{""610 hours""}","{""1,088""}","54.2%","{1.13}","Vandal","40%","Ghost","44%","Lotus","60.7%"
134,"Iselin ","deadd","2,728h Playtime ","4,908 Matches ","768","631","2441","128.4","19.8%","49.2%","2,414","69,741","72,425","30,865","{1.39}","{0.7}","{""1,377""}","{Sova}","{""494 hours""}","{886}","49.0%","{0.95}","Vandal","31%","Phantom","27%","Pearl","54.5%"
135,"KPI Sayonara ","gud","3,245h Playtime ","5,884 Matches ","768","572","2591","166.0","32.7%","55.0%","3,234","113,596","95,973","23,182","{1.43}","{0.9}","{""1,125""}","{Jett}","{""794 hours""}","{""1,440""}","54.1%","{1.16}","Vandal","47%","Phantom","37%","Sunset","67.1%"
136,"LEGACY gobera ","XIT","3,037h Playtime ","5,394 Matches ","768","676","2440","167.0","23.6%","53.6%","2,889","103,249","86,324","22,908","{1.46}","{0.9}","{""1,004""}","{Jett}","{""1,627 hours""}","{""2,906""}","54.1%","{1.21}","Vandal","34%","Phantom","28%","Pearl","59.5%"
137,"tankzor ","6666","2,500h Playtime ","4,433 Matches ","765","504","2009","145.9","39.6%","53.4%","2,367","75,230","65,061","19,120","{1.45}","{0.8}","{""1,215""}","{Cypher}","{""472 hours""}","{825}","55.6%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
138,"EP Cantzer ","ZYZZ","2,561h Playtime ","4,436 Matches ","764","736","2122","137.8","21.8%","51.0%","2,261","66,474","64,191","27,611","{1.47}","{0.7}","{""1,446""}","{Sova}","{""1,376 hours""}","{""2,390""}","52.3%","{1.05}","Vandal","33%","Phantom","26%","Sunset","57.7%"
139,"Shiroo ","zaza","2,432h Playtime ","4,300 Matches ","763","501","2091","149.7","23.7%","50.0%","2,149","71,094","65,950","22,371","{1.42}","{0.8}","{981}","{Jett}","{""409 hours""}","{719}","48.8%","{1.09}","Vandal","34%","Sheriff","50%","Pearl","57.7%"
140,"niwt ","147","2,036h Playtime ","3,611 Matches ","759","447","1727","154.1","26.1%","51.0%","1,843","64,026","53,886","12,967","{1.43}","{0.8}","{986}","{Jett}","{""1,565 hours""}","{""2,764""}","51.4%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
141,"EL SALVADOR ","aim","721h Playtime ","1,350 Matches ","755","212","617","159.2","34.0%","53.0%","716","24,715","22,562","4,938","{1.31}","{0.9}","{195}","{Jett}","{""254 hours""}","{474}","55.5%","{1.13}","Vandal","47%","Sheriff","57%","Fracture","55.6%"
1334,"lolxd333 ","1337","507h Playtime ","918 Matches ","537","224","391","174.7","25.3%","56.4%","518","18,924","13,107","4,802","{1.81}","{1.0}","{280}","{Jett}","{""113 hours""}","{209}","59.3%","{1.57}",NULL,NULL,NULL,NULL,NULL,NULL
142,"PURPLE ","surf","2,544h Playtime ","4,667 Matches ","755","650","2214","157.1","29.1%","51.8%","2,416","86,333","74,669","15,996","{1.37}","{0.9}","{879}","{Jett}","{""1,325 hours""}","{""2,426""}","52.9%","{1.19}",NULL,NULL,NULL,NULL,NULL,NULL
143,"VX Veqaj ","1810","3,358h Playtime ","6,051 Matches ","754","743","2820","156.4","28.0%","52.0%","3,144","111,250","96,450","26,073","{1.42}","{0.9}","{""1,187""}","{Jett}","{""937 hours""}","{""1,697""}","51.6%","{1.19}","Vandal","41%","Operator","10%","Ascent","55.9%"
144,"s0m ","katie","3,750h Playtime ","6,780 Matches ","754","644","2825","159.6","28.2%","57.6%","3,902","130,374","105,348","34,070","{1.56}","{0.9}","{""1,884""}","{Jett}","{""1,061 hours""}","{""1,933""}","59.0%","{1.30}","Vandal","47%","Phantom","39%","Pearl","62.7%"
145,"PG zeikosha ","hrnnn","1,742h Playtime ","3,055 Matches ","753","458","1436","148.4","24.1%","51.5%","1,573","51,226","45,411","12,790","{1.41}","{0.8}","{816}","{Yoru}","{""354 hours""}","{622}","54.0%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
146,"jnz ","GiGi","2,963h Playtime ","5,385 Matches ","753","576","2591","149.6","20.3%","50.3%","2,711","89,780","89,044","28,088","{1.32}","{0.8}","{880}","{Jett}","{""674 hours""}","{""1,210""}","48.1%","{1.02}","Vandal","31%","Phantom","23%","Breeze","55.7%"
147,"FNATIC Derke ","NIKO","980h Playtime ","1,756 Matches ","752","437","614","178.3","29.3%","64.1%","1,125","37,406","27,131","7,009","{1.64}","{1.0}","{397}","{Jett}","{""429 hours""}","{775}","67.1%","{1.48}","Vandal","43%","Operator","8%","Pearl","74.0%"
148,"adm1k ","666","1,862h Playtime ","3,410 Matches ","751","384","1649","145.7","22.9%","50.3%","1,714","54,474","52,885","18,890","{1.39}","{0.8}","{773}","{Raze}","{""425 hours""}","{766}","52.6%","{1.10}","Vandal","34%","Phantom","29%","Pearl","53.8%"
149,"APEKS kaajak ","SIGMA","1,430h Playtime ","2,563 Matches ","751","348","1118","164.5","34.0%","55.2%","1,415","48,944","38,302","11,279","{1.57}","{0.9}","{659}","{Jett}","{""331 hours""}","{599}","56.3%","{1.35}",NULL,NULL,NULL,NULL,NULL,NULL
150,"TH Boo ","16556","1,268h Playtime ","2,227 Matches ","749","385","833","155.2","29.8%","61.3%","1,366","39,738","30,867","12,227","{1.68}","{0.8}","{745}","{Raze}","{""198 hours""}","{343}","62.7%","{1.34}","Vandal","43%","Phantom","38%","Fracture","65.2%"
151,"Lyost SwiFii ","palu","2,328h Playtime ","4,169 Matches ","748","447","1979","152.3","27.7%","51.3%","2,137","71,989","63,694","21,557","{1.47}","{0.8}","{""1,032""}","{Jett}","{""352 hours""}","{632}","52.7%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
152,"Crazymojo ","9669","3,629h Playtime ","6,640 Matches ","748","648","3150","142.6","24.0%","51.7%","3,436","109,567","101,142","25,658","{1.34}","{0.8}","{""1,774""}","{Cypher}","{""1,356 hours""}","{""2,486""}","52.0%","{1.07}","Vandal","35%","Phantom","30%","Fracture","54.2%"
153,"FANCY f1cio ","Keo","3,075h Playtime ","5,544 Matches ","748","645","2517","146.1","30.1%","53.7%","2,976","93,756","87,082","29,183","{1.41}","{0.8}","{""1,327""}","{Jett}","{""557 hours""}","{999}","50.5%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
154,"NMD Ktori ","974","1,219h Playtime ","2,202 Matches ","748","255","1012","154.8","32.3%","53.0%","1,167","39,035","35,808","8,965","{1.34}","{0.8}","{397}","{Jett}","{""414 hours""}","{745}","53.8%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
155,"RA stun ","303","1,052h Playtime ","1,884 Matches ","747","317","834","157.8","27.9%","54.8%","1,032","33,946","29,697","8,529","{1.43}","{0.8}","{441}","{Jett}","{""377 hours""}","{682}","55.0%","{1.18}","Vandal","40%","Phantom","36%","Split","58.8%"
156,"Loco ","0110","2,319h Playtime ","4,163 Matches ","745","459","1987","147.0","21.1%","50.9%","2,121","67,815","66,826","21,879","{1.34}","{0.8}","{849}","{Jett}","{""472 hours""}","{852}","52.6%","{1.06}","Vandal","34%","Phantom","28%","Fracture","55.2%"
157,"darkwinjett ","000","342h Playtime ","631 Matches ","763","94","256","162.7","30.1%","58.6%","370","11,631","10,023","2,949","{1.45}","{0.9}","{113}","{Neon}","{""88 hours""}","{171}","60.2%","{1.15}","Vandal","43%","Ghost","47%","Haven","70.8%"
158,"ARF KYLEE ","1TAP","4,213h Playtime ","7,583 Matches ","745","949","3705","145.9","35.7%","50.2%","3,806","130,563","115,166","26,709","{1.37}","{0.8}","{""1,981""}","{Jett}","{""1,438 hours""}","{""2,567""}","51.1%","{1.18}",NULL,NULL,NULL,NULL,NULL,NULL
159,"Eeyore ","uWu","2,024h Playtime ","3,678 Matches ","745","630","1726","137.4","27.6%","52.4%","1,927","59,002","54,400","19,890","{1.45}","{0.7}","{""1,136""}","{Sova}","{""393 hours""}","{718}","51.4%","{1.08}","Vandal","39%","Phantom","34%","Lotus","60.4%"
160,"BC YoZeii ","TP4","2,126h Playtime ","3,746 Matches ","744","455","1735","153.9","27.1%","52.8%","1,978","66,504","55,877","15,902","{1.47}","{0.8}","{""1,120""}","{Chamber}","{""487 hours""}","{868}","53.8%","{1.29}",NULL,NULL,NULL,NULL,NULL,NULL
161,"JL jass ","777","2,425h Playtime ","4,422 Matches ","742","479","1998","156.1","31.2%","53.8%","2,378","79,178","70,871","19,630","{1.39}","{0.8}","{820}","{Jett}","{""703 hours""}","{""1,288""}","54.3%","{1.13}","Vandal","45%","Phantom","39%","Lotus","62.5%"
162,"GX Fit1nho ","ESP","1,012h Playtime ","1,760 Matches ","742","331","716","152.1","25.9%","58.3%","1,026","31,614","24,752","8,025","{1.60}","{0.8}","{569}","{Jett}","{""331 hours""}","{573}","60.0%","{1.40}","Vandal","40%","Operator","8%","Lotus","68.1%"
163,"Mega ","Cara","1,617h Playtime ","2,927 Matches ","741","324","1412","162.9","33.8%","50.4%","1,475","53,798","47,257","11,765","{1.39}","{0.9}","{527}","{Jett}","{""660 hours""}","{""1,190""}","50.4%","{1.14}","Vandal","46%","Phantom","42%","Icebox","54.2%"
164,"GMX DEPYRO ","MANGO","1,200h Playtime ","2,134 Matches ","741","343","962","152.7","21.3%","53.8%","1,149","37,561","32,350","11,705","{1.52}","{0.8}","{605}","{Jett}","{""224 hours""}","{396}","53.8%","{1.24}","Vandal","33%","Phantom","27%","Sunset","70.7%"
165,"Samuraj ","UwU","2,675h Playtime ","4,771 Matches ","740","501","2324","145.4","30.4%","50.1%","2,390","79,137","75,718","18,256","{1.29}","{0.8}","{""1,080""}","{Reyna}","{""605 hours""}","{""1,073""}","53.1%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
166,"RDY Ñefry ヅ ","0802","2,632h Playtime ","4,788 Matches ","740","531","2257","136.3","19.1%","51.4%","2,462","72,305","72,495","31,211","{1.43}","{0.7}","{""1,246""}","{Sage}","{""571 hours""}","{""1,019""}","51.6%","{0.88}",NULL,NULL,NULL,NULL,NULL,NULL
167,"AK Dantedeu5 ","Sora","1,054h Playtime ","1,906 Matches ","739","230","860","152.4","27.8%","53.6%","1,021","32,450","30,098","10,313","{1.42}","{0.8}","{369}","{Jett}","{""219 hours""}","{401}","54.1%","{1.13}","Vandal","43%","Phantom","36%","Icebox","59.2%"
168,"FMG Jaf ","H2O","2,177h Playtime ","3,817 Matches ","739","583","1802","135.3","31.1%","51.7%","1,973","60,610","58,474","20,348","{1.38}","{0.7}","{""1,058""}","{Omen}","{""619 hours""}","{""1,090""}","53.1%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
169,"glyph ","XLVII","2,786h Playtime ","5,027 Matches ","738","640","2403","140.6","25.0%","51.1%","2,568","81,013","79,760","25,775","{1.34}","{0.8}","{""1,028""}","{Jett}","{""369 hours""}","{677}","52.3%","{1.03}","Vandal","38%","Phantom","28%","Sunset","57.6%"
170,"khs ","unagi","3,426h Playtime ","6,202 Matches ","738","727","3026","144.6","23.8%","50.3%","3,118","98,980","101,001","31,628","{1.29}","{0.8}","{""1,006""}","{Sova}","{""684 hours""}","{""1,247""}","51.6%","{0.99}",NULL,NULL,NULL,NULL,NULL,NULL
171,"UOL Leon ","1337","2,682h Playtime ","4,745 Matches ","737","806","2323","132.4","22.2%","50.0%","2,372","70,718","71,870","25,412","{1.34}","{0.7}","{""1,337""}","{Omen}","{""608 hours""}","{""1,065""}","51.7%","{1.01}","Vandal","32%","Phantom","25%","Fracture","53.4%"
