"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
1094,"VZ GLopE ","1717","1,106h Playtime ","2,020 Matches ","547","302","925","140.4","20.4%","53.2%","1,075","31,397","30,905","11,293","{1.38}","{0.7}","{505}","{Sage}","{""145 hours""}","{261}","51.0%","{0.91}",NULL,NULL,NULL,NULL,NULL,NULL
1095,"Neptune ","M4X","1,024h Playtime ","1,843 Matches ","547","223","853","163.2","24.6%","52.5%","968","34,566","29,310","7,875","{1.45}","{0.9}","{380}","{Jett}","{""480 hours""}","{855}","50.8%","{1.24}","Vandal","37%","Phantom","29%","Pearl","59.7%"
1096,"RLF MihLog ","REMI","1,163h Playtime ","2,087 Matches ","547","278","985","145.3","24.5%","51.7%","1,079","34,304","31,251","10,894","{1.45}","{0.8}","{587}","{Chamber}","{""291 hours""}","{518}","54.8%","{1.23}",NULL,NULL,NULL,NULL,NULL,NULL
1097,"Clairo ","213","3,157h Playtime ","5,597 Matches ","565","611","2688","149.4","29.6%","50.6%","2,833","95,394","88,979","22,554","{1.33}","{0.8}","{""1,241""}","{Reyna}","{""738 hours""}","{""1,308""}","51.6%","{1.12}","Vandal","42%","Phantom","31%","Sunset","56.2%"
1098,"n0rth ","monke","3,268h Playtime ","5,696 Matches ","547","676","2738","148.3","26.9%","50.1%","2,854","93,979","90,821","24,125","{1.30}","{0.8}","{""1,301""}","{Raze}","{""614 hours""}","{""1,078""}","54.9%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
1099,"KOI starxo ","123","1,978h Playtime ","3,559 Matches ","547","529","1445","157.9","23.9%","58.2%","2,071","65,783","53,412","17,501","{1.56}","{0.9}","{866}","{Jett}","{""571 hours""}","{""1,034""}","58.5%","{1.29}","Vandal","35%","Phantom","31%","Lotus","71.6%"
1100,"Le0NyX ","Kuro","1,409h Playtime ","2,541 Matches ","547","390","1193","135.4","24.7%","51.9%","1,319","39,054","38,286","13,880","{1.38}","{0.7}","{697}","{Sova}","{""234 hours""}","{422}","54.3%","{1.01}",NULL,NULL,NULL,NULL,NULL,NULL
1101,"Layzr ","pip","2,325h Playtime ","4,166 Matches ","529","567","2006","141.2","20.7%","50.6%","2,107","67,322","65,683","20,251","{1.33}","{0.8}","{829}","{Jett}","{""788 hours""}","{""1,408""}","53.2%","{1.08}","Vandal","31%","Phantom","26%","Breeze","57.3%"
1102,"DFM Medusa ","0125","1,914h Playtime ","3,305 Matches ","547","416","1613","142.7","30.0%","50.5%","1,670","55,115","50,025","14,774","{1.40}","{0.8}","{976}","{Jett}","{""190 hours""}","{328}","47.6%","{1.17}","Vandal","45%","Phantom","38%","Breeze","54.7%"
1103,"St4ckZ ","Emma","1,612h Playtime ","2,812 Matches ","546","388","1383","150.4","26.6%","49.4%","1,388","48,403","43,531","10,976","{1.36}","{0.8}","{700}","{Jett}","{""489 hours""}","{862}","51.4%","{1.13}",NULL,NULL,NULL,NULL,NULL,NULL
